"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,"52.02 Business administration, management and operations",,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
40040 Commissioned police officers and related occupations in public protection services,"2,240","1,610",640,270,175,95,,
40041 Fire chiefs and senior firefighting officers,"2,725","2,515",210,170,145,25,,
40042 Commissioned officers of the Canadian Armed Forces,"19,325","15,355","3,965","1,210",930,285,,
"41 Professional occupations in law, education, social, community and government services","1,337,875","475,880","861,995","31,295","14,800","16,500",,
411 Professional occupations in law,"109,335","58,275","51,055","1,835","1,200",635,,
"4110 Judges, lawyers and Quebec notaries","109,335","58,275","51,055","1,835","1,200",635,,
41100 Judges,"3,355","1,830","1,525",55,35,20,,
41101 Lawyers and Quebec notaries,"105,980","56,440","49,535","1,780","1,165",615,,
412 Professional occupations in education services,"796,855","266,185","530,670","10,700","5,125","5,580",,
4120 University professors and post-secondary assistants,"200,550","96,090","104,460","3,750","2,060","1,685",,
41200 University professors and lecturers,"79,445","43,955","35,490","2,335","1,405",930,,
41201 Post-secondary teaching and research assistants,"121,110","52,135","68,970","1,410",650,755,,
4121 College and other vocational instructors,"108,620","50,905","57,715","4,215","2,140","2,070",,
41210 College and other vocational instructors,"108,620","50,905","57,715","4,215","2,140","2,070",,
"4122 Secondary, elementary and kindergarten school teachers","487,680","119,185","368,495","2,740",915,"1,820",,
41220 Secondary school teachers,"165,375","67,290","98,085","1,270",615,660,,
41221 Elementary school and kindergarten teachers,"322,305","51,895","270,410","1,465",305,"1,160",,
413 Professional occupations in social and community services,"187,750","51,800","135,950","3,155","1,150","2,005",,
4130 Social and community service professionals,"137,460","39,290","98,170","1,260",615,645,,
41300 Social workers,"69,445","9,660","59,785",500,110,390,,
41301 Therapists in counselling and related specialized therapies,"37,585","6,635","30,950",230,75,155,,
41302 Religious leaders,"30,435","23,000","7,435",535,430,105,,
4131 Police investigators and probation officers,"9,100","3,900","5,200",140,100,40,,
41310 Police investigators and other investigative occupations,"3,670","2,570","1,100",115,90,25,,
41311 Probation and parole officers,"5,430","1,330","4,100",30,10,10,,
4132 Educational and employment counsellors,"41,190","8,610","32,580","1,750",430,"1,325",,
41320 Educational counsellors,"28,820","6,060","22,755","1,000",220,775,,
41321 Career development practitioners and career counsellors (except education),"12,370","2,545","9,825",750,210,545,,
414 Professional occupations in government services,"243,940","99,620","144,315","15,605","7,325","8,275",,
"4140 Policy and program researchers, consultants and officers","243,940","99,620","144,315","15,605","7,325","8,275",,
