"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,45.10 Political science and government,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
40021 School principals and administrators of elementary and secondary education,"33,080","12,575","20,505",195,90,100,,
"4003 Managers in social, community and correctional services","36,120","8,275","27,840",430,160,270,,
"40030 Managers in social, community and correctional services","36,120","8,275","27,840",430,160,270,,
4004 Managers in public protection services,"24,285","19,475","4,810",740,600,140,,
40040 Commissioned police officers and related occupations in public protection services,"2,240","1,610",640,40,30,10,,
40041 Fire chiefs and senior firefighting officers,"2,725","2,515",210,30,20,10,,
40042 Commissioned officers of the Canadian Armed Forces,"19,325","15,355","3,965",670,550,120,,
"41 Professional occupations in law, education, social, community and government services","1,337,875","475,880","861,995","17,415","9,255","8,160",,
411 Professional occupations in law,"109,335","58,275","51,055","2,795","1,705","1,090",,
"4110 Judges, lawyers and Quebec notaries","109,335","58,275","51,055","2,795","1,705","1,090",,
41100 Judges,"3,355","1,830","1,525",45,30,20,,
41101 Lawyers and Quebec notaries,"105,980","56,440","49,535","2,750","1,685","1,070",,
412 Professional occupations in education services,"796,855","266,185","530,670","6,255","3,305","2,950",,
4120 University professors and post-secondary assistants,"200,550","96,090","104,460","3,590","2,000","1,585",,
41200 University professors and lecturers,"79,445","43,955","35,490","1,780","1,145",640,,
41201 Post-secondary teaching and research assistants,"121,110","52,135","68,970","1,805",860,950,,
4121 College and other vocational instructors,"108,620","50,905","57,715",910,470,440,,
41210 College and other vocational instructors,"108,620","50,905","57,715",910,470,440,,
"4122 Secondary, elementary and kindergarten school teachers","487,680","119,185","368,495","1,755",835,925,,
41220 Secondary school teachers,"165,375","67,290","98,085",690,415,275,,
41221 Elementary school and kindergarten teachers,"322,305","51,895","270,410","1,065",420,645,,
413 Professional occupations in social and community services,"187,750","51,800","135,950","1,095",450,645,,
4130 Social and community service professionals,"137,460","39,290","98,170",530,215,320,,
41300 Social workers,"69,445","9,660","59,785",295,85,215,,
41301 Therapists in counselling and related specialized therapies,"37,585","6,635","30,950",145,55,90,,
41302 Religious leaders,"30,435","23,000","7,435",90,75,20,,
4131 Police investigators and probation officers,"9,100","3,900","5,200",170,95,75,,
41310 Police investigators and other investigative occupations,"3,670","2,570","1,100",85,70,15,,
41311 Probation and parole officers,"5,430","1,330","4,100",85,25,50,,
4132 Educational and employment counsellors,"41,190","8,610","32,580",390,135,250,,
41320 Educational counsellors,"28,820","6,060","22,755",240,80,165,,
41321 Career development practitioners and career counsellors (except education),"12,370","2,545","9,825",150,60,95,,
414 Professional occupations in government services,"243,940","99,620","144,315","7,265","3,790","3,480",,
"4140 Policy and program researchers, consultants and officers","243,940","99,620","144,315","7,265","3,790","3,480",,
"41400 Natural and applied science policy researchers, consultants and program officers","37,725","19,025","18,695",725,350,370,,
41401 Economists and economic policy researchers and analysts,"23,970","13,255","10,715",530,280,250,,
41402 Business development officers and market researchers and analysts,"46,305","25,000","21,305","1,095",730,370,,
"41403 Social policy researchers, consultants and program officers","45,075","15,180","29,895","2,720","1,265","1,450",,
"41404 Health policy researchers, consultants and program officers","29,270","6,950","22,325",440,195,245,,
"41405 Education policy researchers, consultants and program officers","28,530","7,375","21,155",435,185,245,,
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","10,605","3,505","7,095",105,35,75,,
41407 Program officers unique to government,"15,250","6,685","8,565","1,030",630,405,,
